internal_drug_id,entity_type,rxcui,properties
DRUG_000780,AMBIGUOUS_MAPPING_COMPONENT,435,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C)(C)NCC(O)c1ccc(O)c(CO)c1', 'inchikey': 'NDAUXUAQIAJITI-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000781,AMBIGUOUS_MAPPING_COMPONENT,237159,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C)(C)NCC(O)c1ccc(O)c(CO)c1', 'inchikey': 'NDAUXUAQIAJITI-LBPRGKRZSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000782,AMBIGUOUS_MAPPING_COMPONENT,435,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC(C)(C)NCC(O)c1ccc(O)c(CO)c1', 'inchikey': 'NDAUXUAQIAJITI-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000788,AMBIGUOUS_MAPPING_COMPONENT,6142,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1', 'inchikey': 'DKYWVDODHFEZIM-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000789,AMBIGUOUS_MAPPING_COMPONENT,237162,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1', 'inchikey': 'DKYWVDODHFEZIM-NSHDSACASA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000790,AMBIGUOUS_MAPPING_COMPONENT,6142,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1', 'inchikey': 'DKYWVDODHFEZIM-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000904,AMBIGUOUS_MAPPING_COMPONENT,1546009,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23', 'inchikey': 'GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000905,AMBIGUOUS_MAPPING_COMPONENT,7623,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23', 'inchikey': 'GSDSWSVVBLHKDQ-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000906,AMBIGUOUS_MAPPING_COMPONENT,7623,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23', 'inchikey': 'GSDSWSVVBLHKDQ-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001135,AMBIGUOUS_MAPPING_COMPONENT,11065,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C', 'inchikey': 'RUDATBOHQWOJDD-UZVSRGJWSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001136,AMBIGUOUS_MAPPING_COMPONENT,2323,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C', 'inchikey': 'RUDATBOHQWOJDD-BSWAIDMHSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001137,AMBIGUOUS_MAPPING_COMPONENT,,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C', 'inchikey': 'RUDATBOHQWOJDD-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
