internal_drug_id,source_dataset,source_drug_id,mapping_confidence
DRUG_000346,drugbank,DB00512,MEDIUM_CANONICAL
DRUG_000346,twosides,CID000005651,MEDIUM_CANONICAL
DRUG_000347,drugbank,DB00513,HIGH_EXACT
DRUG_000347,twosides,CID000000564,HIGH_EXACT
DRUG_000348,drugbank,DB00514,MEDIUM_CANONICAL
DRUG_000348,twosides,CID000003008,MEDIUM_CANONICAL
DRUG_000349,drugbank,DB00515,unmapped
DRUG_000350,drugbank,DB00517,unmapped
DRUG_000351,drugbank,DB00518,unmapped
DRUG_000352,drugbank,DB00519,MEDIUM_CANONICAL
DRUG_000352,twosides,CID000005525,MEDIUM_CANONICAL
DRUG_000353,drugbank,DB00520,unmapped
DRUG_000354,drugbank,DB00521,unmapped
DRUG_000355,drugbank,DB00523,ambiguous
DRUG_000356,drugbank,DB00755,ambiguous
DRUG_000357,drugbank,DB00982,ambiguous
DRUG_000358,twosides,CID000005538,ambiguous
DRUG_000359,drugbank,DB00524,HIGH_EXACT
DRUG_000359,twosides,CID000004170,HIGH_EXACT
DRUG_000360,drugbank,DB00525,unmapped
DRUG_000361,drugbank,DB00526,unmapped
DRUG_000362,drugbank,DB00527,unmapped
DRUG_000363,drugbank,DB00528,unmapped
DRUG_000364,drugbank,DB00529,unmapped
DRUG_000365,drugbank,DB00530,HIGH_EXACT
DRUG_000365,twosides,CID000176870,HIGH_EXACT
DRUG_000366,drugbank,DB00531,HIGH_EXACT
DRUG_000366,twosides,CID000002907,HIGH_EXACT
DRUG_000367,drugbank,DB00535,MEDIUM_CANONICAL
DRUG_000367,twosides,CID006398970,MEDIUM_CANONICAL
DRUG_000368,drugbank,DB00537,HIGH_EXACT
DRUG_000368,twosides,CID000002764,HIGH_EXACT
DRUG_000369,drugbank,DB00539,unmapped
DRUG_000370,drugbank,DB00540,HIGH_EXACT
DRUG_000370,twosides,CID000004543,HIGH_EXACT
DRUG_000371,drugbank,DB00541,MEDIUM_CANONICAL
DRUG_000371,twosides,CID000005978,MEDIUM_CANONICAL
DRUG_000372,drugbank,DB00542,MEDIUM_CANONICAL
DRUG_000372,twosides,CID000002311,MEDIUM_CANONICAL
DRUG_000373,drugbank,DB00543,HIGH_EXACT
DRUG_000373,twosides,CID000002170,HIGH_EXACT
DRUG_000374,drugbank,DB00544,HIGH_EXACT
DRUG_000374,twosides,CID000003385,HIGH_EXACT
DRUG_000375,drugbank,DB00545,HIGH_EXACT
DRUG_000375,twosides,CID000004991,HIGH_EXACT
DRUG_000376,drugbank,DB00546,unmapped
DRUG_000377,drugbank,DB00547,unmapped
DRUG_000378,drugbank,DB00548,HIGH_EXACT
DRUG_000378,twosides,CID000002266,HIGH_EXACT
DRUG_000379,drugbank,DB00549,HIGH_EXACT
DRUG_000379,twosides,CID000005717,HIGH_EXACT
DRUG_000380,drugbank,DB00550,HIGH_EXACT
DRUG_000380,twosides,CID000657298,HIGH_EXACT
DRUG_000381,drugbank,DB00551,unmapped
DRUG_000382,drugbank,DB00552,unmapped
DRUG_000383,drugbank,DB00553,unmapped
DRUG_000384,drugbank,DB00554,unmapped
DRUG_000385,drugbank,DB00555,HIGH_EXACT
DRUG_000385,twosides,CID000003878,HIGH_EXACT
DRUG_000386,drugbank,DB00556,unmapped
DRUG_000387,drugbank,DB00557,HIGH_EXACT
DRUG_000387,twosides,CID000003658,HIGH_EXACT
DRUG_000388,drugbank,DB00559,HIGH_EXACT
DRUG_000388,twosides,CID000104865,HIGH_EXACT
DRUG_000389,drugbank,DB00560,unmapped
DRUG_000390,drugbank,DB00561,unmapped
DRUG_000391,drugbank,DB00562,unmapped
DRUG_000392,drugbank,DB00563,MEDIUM_CANONICAL
DRUG_000392,twosides,CID000004112,MEDIUM_CANONICAL
DRUG_000393,drugbank,DB00564,HIGH_EXACT
DRUG_000393,twosides,CID000002554,HIGH_EXACT
DRUG_000394,drugbank,DB00565,unmapped
DRUG_000395,drugbank,DB00567,MEDIUM_CANONICAL
DRUG_000395,twosides,CID000002666,MEDIUM_CANONICAL
DRUG_000396,drugbank,DB00568,unmapped
DRUG_000397,drugbank,DB00569,MEDIUM_CANONICAL
DRUG_000397,twosides,CID000163742,MEDIUM_CANONICAL
DRUG_000398,drugbank,DB00570,MEDIUM_CANONICAL
DRUG_000398,twosides,CID000013342,MEDIUM_CANONICAL
DRUG_000399,drugbank,DB00571,HIGH_EXACT
DRUG_000399,twosides,CID000004946,HIGH_EXACT
DRUG_000400,drugbank,DB00573,unmapped
DRUG_000401,drugbank,DB00575,HIGH_EXACT
DRUG_000401,twosides,CID000002803,HIGH_EXACT
DRUG_000402,drugbank,DB00576,unmapped
DRUG_000403,drugbank,DB00577,MEDIUM_CANONICAL
DRUG_000403,twosides,CID000005647,MEDIUM_CANONICAL
DRUG_000404,drugbank,DB00578,unmapped
DRUG_000405,drugbank,DB00581,unmapped
DRUG_000406,drugbank,DB00582,MEDIUM_CANONICAL
DRUG_000406,twosides,CID000071616,MEDIUM_CANONICAL
DRUG_000407,drugbank,DB00583,unmapped
DRUG_000408,drugbank,DB00584,MEDIUM_CANONICAL
DRUG_000408,twosides,CID000003222,MEDIUM_CANONICAL
DRUG_000409,drugbank,DB00585,HIGH_EXACT
DRUG_000409,twosides,CID000004513,HIGH_EXACT
DRUG_000410,drugbank,DB00586,unmapped
DRUG_000411,drugbank,DB00588,unmapped
DRUG_000412,drugbank,DB00589,unmapped
DRUG_000413,drugbank,DB00590,HIGH_EXACT
DRUG_000413,twosides,CID000003157,HIGH_EXACT
DRUG_000414,drugbank,DB00591,MEDIUM_CANONICAL
DRUG_000414,twosides,CID000003381,MEDIUM_CANONICAL
DRUG_000415,drugbank,DB00592,unmapped
DRUG_000416,drugbank,DB00593,HIGH_EXACT
DRUG_000416,twosides,CID000003291,HIGH_EXACT
DRUG_000417,drugbank,DB00594,HIGH_INCHIKEY
DRUG_000417,twosides,CID000016231,HIGH_INCHIKEY
DRUG_000418,drugbank,DB00595,unmapped
DRUG_000419,drugbank,DB00596,unmapped
DRUG_000420,drugbank,DB00598,HIGH_EXACT
DRUG_000420,twosides,CID000003869,HIGH_EXACT
DRUG_000421,drugbank,DB00599,unmapped
DRUG_000422,drugbank,DB00601,MEDIUM_CANONICAL
DRUG_000422,twosides,CID000003929,MEDIUM_CANONICAL
DRUG_000423,drugbank,DB00602,MEDIUM_CANONICAL
DRUG_000423,twosides,CID006435110,MEDIUM_CANONICAL
DRUG_000424,drugbank,DB00603,unmapped
DRUG_000425,drugbank,DB00604,unmapped
DRUG_000426,drugbank,DB00605,MEDIUM_CANONICAL
DRUG_000426,twosides,CID000005352,MEDIUM_CANONICAL
DRUG_000427,drugbank,DB00606,unmapped
DRUG_000428,drugbank,DB00607,unmapped
DRUG_000429,drugbank,DB00608,HIGH_EXACT
DRUG_000429,twosides,CID000002719,HIGH_EXACT
DRUG_000430,drugbank,DB00609,unmapped
DRUG_000431,drugbank,DB00610,unmapped
DRUG_000432,drugbank,DB00611,MEDIUM_CANONICAL
DRUG_000432,twosides,CID000002487,MEDIUM_CANONICAL
DRUG_000433,drugbank,DB00612,HIGH_EXACT
DRUG_000433,twosides,CID000002405,HIGH_EXACT
DRUG_000434,drugbank,DB00613,unmapped
DRUG_000435,drugbank,DB00614,unmapped
DRUG_000436,drugbank,DB00615,unmapped
DRUG_000437,drugbank,DB00617,unmapped
DRUG_000438,drugbank,DB00618,unmapped
DRUG_000439,drugbank,DB00619,HIGH_EXACT
DRUG_000439,twosides,CID000005291,HIGH_EXACT
DRUG_000440,drugbank,DB00620,MEDIUM_CANONICAL
DRUG_000440,twosides,CID000005544,MEDIUM_CANONICAL
DRUG_000441,drugbank,DB00621,MEDIUM_CANONICAL
DRUG_000441,twosides,CID000005878,MEDIUM_CANONICAL
DRUG_000442,drugbank,DB00622,unmapped
DRUG_000443,drugbank,DB00623,HIGH_EXACT
DRUG_000443,twosides,CID000003372,HIGH_EXACT
DRUG_000444,drugbank,DB00624,MEDIUM_CANONICAL
DRUG_000444,twosides,CID000005408,MEDIUM_CANONICAL
DRUG_000445,drugbank,DB00625,MEDIUM_CANONICAL
DRUG_000445,twosides,CID000003203,MEDIUM_CANONICAL
DRUG_000446,drugbank,DB00626,unmapped
DRUG_000447,drugbank,DB00627,unmapped
DRUG_000448,drugbank,DB00628,unmapped
DRUG_000449,drugbank,DB00629,unmapped
DRUG_000450,drugbank,DB00630,HIGH_EXACT
DRUG_000450,twosides,CID000002088,HIGH_EXACT
DRUG_000451,drugbank,DB00631,MEDIUM_CANONICAL
DRUG_000451,twosides,CID000119182,MEDIUM_CANONICAL
DRUG_000452,drugbank,DB00633,unmapped
DRUG_000453,drugbank,DB00634,unmapped
DRUG_000454,drugbank,DB00635,MEDIUM_CANONICAL
DRUG_000454,twosides,CID000004900,MEDIUM_CANONICAL
DRUG_000455,drugbank,DB00636,unmapped
DRUG_000456,drugbank,DB00637,unmapped
DRUG_000457,drugbank,DB00639,unmapped
DRUG_000458,drugbank,DB00640,MEDIUM_CANONICAL
DRUG_000458,twosides,CID000000191,MEDIUM_CANONICAL
DRUG_000459,drugbank,DB00641,MEDIUM_CANONICAL
DRUG_000459,twosides,CID000054454,MEDIUM_CANONICAL
DRUG_000460,drugbank,DB00642,MEDIUM_CANONICAL
DRUG_000460,twosides,CID000060843,MEDIUM_CANONICAL
DRUG_000461,drugbank,DB00643,unmapped
DRUG_000462,drugbank,DB00645,unmapped
DRUG_000463,drugbank,DB00646,unmapped
DRUG_000464,drugbank,DB00647,unmapped
DRUG_000465,drugbank,DB00648,HIGH_EXACT
DRUG_000465,twosides,CID000004211,HIGH_EXACT
DRUG_000466,drugbank,DB00649,MEDIUM_CANONICAL
DRUG_000466,twosides,CID000005155,MEDIUM_CANONICAL
DRUG_000467,drugbank,DB00650,unmapped
DRUG_000468,drugbank,DB00651,unmapped
DRUG_000469,drugbank,DB00652,MEDIUM_CANONICAL
DRUG_000469,twosides,CID000004736,MEDIUM_CANONICAL
DRUG_000470,drugbank,DB00653,unmapped
DRUG_000471,drugbank,DB00654,MEDIUM_CANONICAL
DRUG_000471,twosides,CID000003890,MEDIUM_CANONICAL
DRUG_000472,drugbank,DB00655,unmapped
DRUG_000473,drugbank,DB00656,HIGH_EXACT
DRUG_000473,twosides,CID000005533,HIGH_EXACT
DRUG_000474,drugbank,DB00657,unmapped
DRUG_000475,drugbank,DB00658,HIGH_EXACT
DRUG_000475,twosides,CID003085017,HIGH_EXACT
DRUG_000476,drugbank,DB00660,unmapped
DRUG_000477,drugbank,DB00661,HIGH_EXACT
DRUG_000477,twosides,CID000002520,HIGH_EXACT
DRUG_000478,drugbank,DB00662,unmapped
DRUG_000479,drugbank,DB00663,unmapped
DRUG_000480,drugbank,DB00664,unmapped
DRUG_000481,drugbank,DB00665,unmapped
DRUG_000482,drugbank,DB00666,unmapped
DRUG_000483,drugbank,DB00668,MEDIUM_CANONICAL
DRUG_000483,twosides,CID000000838,MEDIUM_CANONICAL
DRUG_000484,drugbank,DB00669,HIGH_EXACT
DRUG_000484,twosides,CID000005358,HIGH_EXACT
DRUG_000485,drugbank,DB00670,unmapped
DRUG_000486,drugbank,DB00671,MEDIUM_CANONICAL
DRUG_000486,twosides,CID000002675,MEDIUM_CANONICAL
DRUG_000487,drugbank,DB00672,HIGH_EXACT
DRUG_000487,twosides,CID000002727,HIGH_EXACT
DRUG_000488,drugbank,DB00673,unmapped
DRUG_000489,drugbank,DB00674,MEDIUM_CANONICAL
DRUG_000489,twosides,CID000003449,MEDIUM_CANONICAL
DRUG_000490,drugbank,DB00675,MEDIUM_CANONICAL
DRUG_000490,twosides,CID000005376,MEDIUM_CANONICAL
DRUG_000491,drugbank,DB00677,unmapped
DRUG_000492,drugbank,DB00678,HIGH_EXACT
DRUG_000492,twosides,CID000003961,HIGH_EXACT
DRUG_000493,drugbank,DB00679,unmapped
DRUG_000494,drugbank,DB00680,unmapped
DRUG_000495,drugbank,DB00681,MEDIUM_CANONICAL
DRUG_000495,twosides,CID000001972,MEDIUM_CANONICAL
DRUG_000496,drugbank,DB00682,unmapped
DRUG_000497,drugbank,DB00683,HIGH_EXACT
DRUG_000497,twosides,CID000004192,HIGH_EXACT
DRUG_000498,drugbank,DB00684,MEDIUM_CANONICAL
DRUG_000498,twosides,CID000005496,MEDIUM_CANONICAL
DRUG_000499,drugbank,DB00685,unmapped
DRUG_000500,drugbank,DB00686,unmapped
DRUG_000501,drugbank,DB00687,unmapped
DRUG_000502,drugbank,DB00688,unmapped
DRUG_000503,drugbank,DB00689,unmapped
DRUG_000504,drugbank,DB00690,HIGH_EXACT
DRUG_000504,twosides,CID000003393,HIGH_EXACT
DRUG_000505,drugbank,DB00691,MEDIUM_CANONICAL
DRUG_000505,twosides,CID000091270,MEDIUM_CANONICAL
DRUG_000506,drugbank,DB00692,unmapped
DRUG_000507,drugbank,DB00694,unmapped
DRUG_000508,drugbank,DB00695,HIGH_EXACT
DRUG_000508,twosides,CID000003440,HIGH_EXACT
DRUG_000509,drugbank,DB00696,unmapped
DRUG_000510,drugbank,DB00697,HIGH_EXACT
DRUG_000510,twosides,CID000005487,HIGH_EXACT
DRUG_000511,drugbank,DB00698,MEDIUM_CANONICAL
DRUG_000511,twosides,CID000004509,MEDIUM_CANONICAL
DRUG_000512,drugbank,DB00699,unmapped
DRUG_000513,drugbank,DB00700,MEDIUM_CANONICAL
DRUG_000513,twosides,CID000150310,MEDIUM_CANONICAL
DRUG_000514,drugbank,DB00701,MEDIUM_CANONICAL
DRUG_000514,twosides,CID000002177,MEDIUM_CANONICAL
DRUG_000515,drugbank,DB00703,unmapped
DRUG_000516,drugbank,DB00704,MEDIUM_CANONICAL
DRUG_000516,twosides,CID000004428,MEDIUM_CANONICAL
DRUG_000517,drugbank,DB00705,unmapped
DRUG_000518,drugbank,DB00706,MEDIUM_CANONICAL
DRUG_000518,twosides,CID000060147,MEDIUM_CANONICAL
DRUG_000519,drugbank,DB00708,HIGH_EXACT
DRUG_000519,twosides,CID000041693,HIGH_EXACT
DRUG_000520,drugbank,DB00709,MEDIUM_CANONICAL
DRUG_000520,twosides,CID000003877,MEDIUM_CANONICAL
DRUG_000521,drugbank,DB00710,HIGH_EXACT
DRUG_000521,twosides,CID000060852,HIGH_EXACT
DRUG_000522,drugbank,DB00711,unmapped
DRUG_000523,drugbank,DB00712,HIGH_EXACT
DRUG_000523,twosides,CID000003394,HIGH_EXACT
DRUG_000524,drugbank,DB00713,unmapped
DRUG_000525,drugbank,DB00714,MEDIUM_CANONICAL
DRUG_000525,twosides,CID000002215,MEDIUM_CANONICAL
DRUG_000526,drugbank,DB00715,MEDIUM_CANONICAL
DRUG_000526,twosides,CID000004691,MEDIUM_CANONICAL
DRUG_000527,drugbank,DB00717,MEDIUM_CANONICAL
DRUG_000527,twosides,CID000004536,MEDIUM_CANONICAL
DRUG_000528,drugbank,DB00718,HIGH_EXACT
DRUG_000528,twosides,CID000060871,HIGH_EXACT
DRUG_000529,drugbank,DB00719,unmapped
DRUG_000530,drugbank,DB00720,unmapped
DRUG_000531,drugbank,DB00721,unmapped
DRUG_000532,drugbank,DB00722,MEDIUM_CANONICAL
DRUG_000532,twosides,CID000003937,MEDIUM_CANONICAL
DRUG_000533,drugbank,DB00723,unmapped
DRUG_000534,drugbank,DB00724,HIGH_EXACT
DRUG_000534,twosides,CID000057469,HIGH_EXACT
DRUG_000535,drugbank,DB00726,HIGH_EXACT
DRUG_000535,twosides,CID000005584,HIGH_EXACT
DRUG_000536,drugbank,DB00727,HIGH_EXACT
DRUG_000536,twosides,CID000004510,HIGH_EXACT
DRUG_000537,drugbank,DB00728,MEDIUM_CANONICAL
DRUG_000537,twosides,CID000060696,MEDIUM_CANONICAL
DRUG_000538,drugbank,DB00730,unmapped
DRUG_000539,drugbank,DB00731,unmapped
DRUG_000540,drugbank,DB00732,ambiguous
DRUG_000541,drugbank,DB13450,ambiguous
DRUG_000542,twosides,CID000047320,ambiguous
DRUG_000543,drugbank,DB00734,HIGH_EXACT
DRUG_000543,twosides,CID000005073,HIGH_EXACT
DRUG_000544,drugbank,DB00735,unmapped
DRUG_000545,drugbank,DB00736,unmapped
DRUG_000546,drugbank,DB00737,HIGH_EXACT
DRUG_000546,twosides,CID000004034,HIGH_EXACT
DRUG_000547,drugbank,DB00738,unmapped
DRUG_000548,drugbank,DB00740,HIGH_EXACT
DRUG_000548,twosides,CID000005070,HIGH_EXACT
DRUG_000549,drugbank,DB00741,MEDIUM_CANONICAL
DRUG_000549,twosides,CID000003640,MEDIUM_CANONICAL
DRUG_000550,drugbank,DB00742,MEDIUM_CANONICAL
DRUG_000550,twosides,CID000000453,MEDIUM_CANONICAL
DRUG_000551,drugbank,DB00743,unmapped
DRUG_000552,drugbank,DB00744,unmapped
DRUG_000553,drugbank,DB00745,ambiguous
DRUG_000554,drugbank,DB06413,ambiguous
DRUG_000555,twosides,CID000004236,ambiguous
DRUG_000556,drugbank,DB00746,HIGH_EXACT
DRUG_000556,twosides,CID000002973,HIGH_EXACT
DRUG_000557,drugbank,DB00747,MEDIUM_CANONICAL
DRUG_000557,twosides,CID000005184,MEDIUM_CANONICAL
DRUG_000558,drugbank,DB00748,unmapped
DRUG_000559,drugbank,DB00749,HIGH_EXACT
DRUG_000559,twosides,CID000003308,HIGH_EXACT
DRUG_000560,drugbank,DB00750,unmapped
DRUG_000561,drugbank,DB00751,unmapped
DRUG_000562,drugbank,DB00752,HIGH_EXACT
DRUG_000562,twosides,CID000005530,HIGH_EXACT
DRUG_000563,drugbank,DB00753,HIGH_EXACT
DRUG_000563,twosides,CID000003763,HIGH_EXACT
DRUG_000564,drugbank,DB00754,unmapped
DRUG_000565,drugbank,DB00757,MEDIUM_CANONICAL
DRUG_000565,twosides,CID000003148,MEDIUM_CANONICAL
DRUG_000566,drugbank,DB00758,MEDIUM_CANONICAL
DRUG_000566,twosides,CID000002806,MEDIUM_CANONICAL
DRUG_000567,drugbank,DB00759,unmapped
DRUG_000568,drugbank,DB00760,unmapped
DRUG_000569,drugbank,DB00761,HIGH_EXACT
DRUG_000569,twosides,CID000004873,HIGH_EXACT
DRUG_000570,drugbank,DB00762,MEDIUM_CANONICAL
DRUG_000570,twosides,CID000003750,MEDIUM_CANONICAL
DRUG_000571,drugbank,DB00763,HIGH_EXACT
DRUG_000571,twosides,CID001349907,HIGH_EXACT
DRUG_000572,drugbank,DB00764,MEDIUM_CANONICAL
DRUG_000572,twosides,CID000123620,MEDIUM_CANONICAL
DRUG_000573,drugbank,DB00765,unmapped
DRUG_000574,drugbank,DB00766,unmapped
DRUG_000575,drugbank,DB00768,MEDIUM_CANONICAL
DRUG_000575,twosides,CID000060865,MEDIUM_CANONICAL
DRUG_000576,drugbank,DB00769,unmapped
DRUG_000577,drugbank,DB00770,MEDIUM_CANONICAL
DRUG_000577,twosides,CID000000214,MEDIUM_CANONICAL
DRUG_000578,drugbank,DB00771,unmapped
DRUG_000579,drugbank,DB00772,unmapped
DRUG_000580,drugbank,DB00773,MEDIUM_CANONICAL
DRUG_000580,twosides,CID000003310,MEDIUM_CANONICAL
DRUG_000581,drugbank,DB00774,unmapped
DRUG_000582,drugbank,DB00775,MEDIUM_CANONICAL
DRUG_000582,twosides,CID000005486,MEDIUM_CANONICAL
DRUG_000583,drugbank,DB00776,HIGH_EXACT
DRUG_000583,twosides,CID000034312,HIGH_EXACT
DRUG_000584,drugbank,DB00778,unmapped
DRUG_000585,drugbank,DB00779,unmapped
DRUG_000586,drugbank,DB00780,HIGH_EXACT
DRUG_000586,twosides,CID000003675,HIGH_EXACT
DRUG_000587,drugbank,DB00781,unmapped
DRUG_000588,drugbank,DB00782,unmapped
DRUG_000589,drugbank,DB00783,MEDIUM_CANONICAL
DRUG_000589,twosides,CID000000450,MEDIUM_CANONICAL
DRUG_000590,drugbank,DB00784,HIGH_EXACT
DRUG_000590,twosides,CID000004044,HIGH_EXACT
DRUG_000591,drugbank,DB00787,HIGH_EXACT
DRUG_000591,twosides,CID000002022,HIGH_EXACT
DRUG_000592,drugbank,DB00788,MEDIUM_CANONICAL
DRUG_000592,twosides,CID000001302,MEDIUM_CANONICAL
DRUG_000593,drugbank,DB00790,MEDIUM_CANONICAL
DRUG_000593,twosides,CID000060184,MEDIUM_CANONICAL
DRUG_000594,drugbank,DB00791,unmapped
DRUG_000595,drugbank,DB00792,unmapped
DRUG_000596,drugbank,DB00793,unmapped
DRUG_000597,drugbank,DB00794,HIGH_EXACT
DRUG_000597,twosides,CID000004909,HIGH_EXACT
DRUG_000598,drugbank,DB00795,unmapped
DRUG_000599,drugbank,DB00796,unmapped
DRUG_000600,drugbank,DB00797,unmapped
DRUG_000601,drugbank,DB00798,HIGH_EXACT
DRUG_000601,twosides,CID000003467,HIGH_EXACT
DRUG_000602,drugbank,DB00799,HIGH_EXACT
DRUG_000602,twosides,CID000005381,HIGH_EXACT
DRUG_000603,drugbank,DB00800,unmapped
DRUG_000604,drugbank,DB00801,unmapped
DRUG_000605,drugbank,DB00802,HIGH_EXACT
DRUG_000605,twosides,CID000051263,HIGH_EXACT
DRUG_000606,drugbank,DB00803,unmapped
DRUG_000607,drugbank,DB00804,HIGH_EXACT
DRUG_000607,twosides,CID000003042,HIGH_EXACT
DRUG_000608,drugbank,DB00805,unmapped
DRUG_000609,drugbank,DB00806,HIGH_EXACT
DRUG_000609,twosides,CID000004740,HIGH_EXACT
DRUG_000610,drugbank,DB00807,unmapped
DRUG_000611,drugbank,DB00808,HIGH_EXACT
DRUG_000611,twosides,CID000003702,HIGH_EXACT
DRUG_000612,drugbank,DB00809,HIGH_EXACT
DRUG_000612,twosides,CID000005593,HIGH_EXACT
DRUG_000613,drugbank,DB00810,unmapped
DRUG_000614,drugbank,DB00811,MEDIUM_CANONICAL
DRUG_000614,twosides,CID000005064,MEDIUM_CANONICAL
DRUG_000615,drugbank,DB00812,unmapped
DRUG_000616,drugbank,DB00813,HIGH_EXACT
DRUG_000616,twosides,CID000003345,HIGH_EXACT
DRUG_000617,drugbank,DB00814,unmapped
DRUG_000618,drugbank,DB00816,unmapped
DRUG_000619,drugbank,DB00817,unmapped
DRUG_000620,drugbank,DB00818,HIGH_EXACT
DRUG_000620,twosides,CID000004943,HIGH_EXACT
DRUG_000621,drugbank,DB00819,HIGH_EXACT
DRUG_000621,twosides,CID000001986,HIGH_EXACT
DRUG_000622,drugbank,DB00820,MEDIUM_CANONICAL
DRUG_000622,twosides,CID000110635,MEDIUM_CANONICAL
DRUG_000623,drugbank,DB00821,unmapped
DRUG_000624,drugbank,DB00822,HIGH_EXACT
DRUG_000624,twosides,CID000003117,HIGH_EXACT
DRUG_000625,drugbank,DB00823,unmapped
DRUG_000626,drugbank,DB00826,unmapped
DRUG_000627,drugbank,DB00827,unmapped
DRUG_000628,drugbank,DB00828,unmapped
DRUG_000629,drugbank,DB00829,HIGH_EXACT
DRUG_000629,twosides,CID000003016,HIGH_EXACT
DRUG_000630,drugbank,DB00830,unmapped
DRUG_000631,drugbank,DB00831,unmapped
DRUG_000632,drugbank,DB00832,unmapped
DRUG_000633,drugbank,DB00833,MEDIUM_CANONICAL
DRUG_000633,twosides,CID000002609,MEDIUM_CANONICAL
DRUG_000634,drugbank,DB00834,unmapped
DRUG_000635,drugbank,DB00835,unmapped
DRUG_000636,drugbank,DB00836,unmapped
DRUG_000637,drugbank,DB00837,unmapped
DRUG_000638,drugbank,DB00838,unmapped
DRUG_000639,drugbank,DB00839,unmapped
DRUG_000640,drugbank,DB00841,HIGH_EXACT
DRUG_000640,twosides,CID000036811,HIGH_EXACT
DRUG_000641,drugbank,DB00842,HIGH_EXACT
DRUG_000641,twosides,CID000004616,HIGH_EXACT
DRUG_000642,drugbank,DB00843,HIGH_EXACT
DRUG_000642,twosides,CID000003152,HIGH_EXACT
DRUG_000643,drugbank,DB00844,MEDIUM_CANONICAL
DRUG_000643,twosides,CID000004419,MEDIUM_CANONICAL
DRUG_000644,drugbank,DB00845,unmapped
DRUG_000645,drugbank,DB00846,unmapped
DRUG_000646,drugbank,DB00847,unmapped
DRUG_000647,drugbank,DB00849,unmapped
DRUG_000648,drugbank,DB00850,HIGH_EXACT
DRUG_000648,twosides,CID000004748,HIGH_EXACT
DRUG_000649,drugbank,DB00851,unmapped
DRUG_000650,drugbank,DB00852,unmapped
DRUG_000651,drugbank,DB00853,HIGH_EXACT
DRUG_000651,twosides,CID000005394,HIGH_EXACT
DRUG_000652,drugbank,DB00854,unmapped
DRUG_000653,drugbank,DB00855,unmapped
DRUG_000654,drugbank,DB00856,unmapped
DRUG_000655,drugbank,DB00857,MEDIUM_CANONICAL
DRUG_000655,twosides,CID000005402,MEDIUM_CANONICAL
DRUG_000656,drugbank,DB00859,MEDIUM_CANONICAL
DRUG_000656,twosides,CID000004727,MEDIUM_CANONICAL
DRUG_000657,drugbank,DB00860,MEDIUM_CANONICAL
DRUG_000657,twosides,CID000004894,MEDIUM_CANONICAL
DRUG_000658,drugbank,DB00861,HIGH_EXACT
DRUG_000658,twosides,CID000003059,HIGH_EXACT
DRUG_000659,drugbank,DB00862,HIGH_EXACT
DRUG_000659,twosides,CID000110634,HIGH_EXACT
DRUG_000660,drugbank,DB00863,HIGH_EXACT
DRUG_000660,twosides,CID000005039,HIGH_EXACT
DRUG_000661,drugbank,DB00864,MEDIUM_CANONICAL
DRUG_000661,twosides,CID000005372,MEDIUM_CANONICAL
DRUG_000662,drugbank,DB00865,unmapped
DRUG_000663,drugbank,DB00866,unmapped
DRUG_000664,drugbank,DB00867,unmapped
DRUG_000665,drugbank,DB00869,MEDIUM_CANONICAL
DRUG_000665,twosides,CID000003154,MEDIUM_CANONICAL
DRUG_000666,drugbank,DB00870,unmapped
DRUG_000667,drugbank,DB00871,unmapped
DRUG_000668,drugbank,DB00872,unmapped
DRUG_000669,drugbank,DB00873,unmapped
DRUG_000670,drugbank,DB00875,unmapped
DRUG_000671,drugbank,DB00876,unmapped
DRUG_000672,drugbank,DB00877,MEDIUM_CANONICAL
DRUG_000672,twosides,CID000005040,MEDIUM_CANONICAL
DRUG_000673,drugbank,DB00879,MEDIUM_CANONICAL
DRUG_000673,twosides,CID000060877,MEDIUM_CANONICAL
DRUG_000674,drugbank,DB00880,HIGH_EXACT
DRUG_000674,twosides,CID000002720,HIGH_EXACT
DRUG_000675,drugbank,DB00881,MEDIUM_CANONICAL
DRUG_000675,twosides,CID000005005,MEDIUM_CANONICAL
DRUG_000676,drugbank,DB00882,HIGH_EXACT
DRUG_000676,twosides,CID000002800,HIGH_EXACT
DRUG_000677,drugbank,DB00883,MEDIUM_CANONICAL
DRUG_000677,twosides,CID000003780,MEDIUM_CANONICAL
DRUG_000678,drugbank,DB00884,HIGH_EXACT
DRUG_000678,twosides,CID000005245,HIGH_EXACT
DRUG_000679,drugbank,DB00885,unmapped
DRUG_000680,drugbank,DB00887,HIGH_EXACT
DRUG_000680,twosides,CID000002471,HIGH_EXACT
DRUG_000681,drugbank,DB00888,unmapped
DRUG_000682,drugbank,DB00889,MEDIUM_CANONICAL
DRUG_000682,twosides,CID000003510,MEDIUM_CANONICAL
DRUG_000683,drugbank,DB00890,unmapped
DRUG_000684,drugbank,DB00891,unmapped
DRUG_000685,drugbank,DB00892,unmapped
DRUG_000686,drugbank,DB00894,unmapped
DRUG_000687,drugbank,DB00896,unmapped
DRUG_000688,drugbank,DB00897,HIGH_EXACT
DRUG_000688,twosides,CID000005556,HIGH_EXACT
DRUG_000689,drugbank,DB00898,unmapped
DRUG_000690,drugbank,DB00899,HIGH_EXACT
DRUG_000690,twosides,CID000060815,HIGH_EXACT
DRUG_000691,drugbank,DB00900,MEDIUM_CANONICAL
DRUG_000691,twosides,CID000003043,MEDIUM_CANONICAL
