side_effect_id,side_effect_name,source_dataset
46,Anisocoria,twosides
1113,rectal discharge,twosides
410,Herpes ophthalmic,twosides
890,calculus ureteric,twosides
1078,thyroid cyst,twosides
416,HIV disease,twosides
1209,Endometrial Atrophy,twosides
463,hypopituitarism,twosides
561,Menstrual Disorder,twosides
820,dysphemia,twosides
647,oophorectomy,twosides
1068,irregular menstrual cycle,twosides
473,infectious mononucleosis,twosides
1222,bladder atony,twosides
563,methaemoglobinaemia,twosides
651,pancreatic pseudocyst,twosides
980,Benign Neoplasm,twosides
938,Cerebral thrombosis,twosides
1315,retinal vein thrombosis,twosides
532,Lyme Disease,twosides
527,lung abscess,twosides
497,kidney neoplasm,twosides
254,diarrhea infectious,twosides
569,motion sickness,twosides
454,hypoaldosteronism,twosides
1141,testicular swelling,twosides
690,pneumoconiosis,twosides
1093,coronary angioplasty,twosides
1054,Skin Striae,twosides
970,hyperchloremia,twosides
198,corneal ulcer,twosides
1124,eye redness,twosides
972,hyperphosphatemia,twosides
655,panniculitis,twosides
821,status epilepticus,twosides
1254,sacroiliitis,twosides
1252,chondrocalcinosis pyrophosphate,twosides
875,Tracheobronchitis,twosides
745,pyuria,twosides
18,agnosia,twosides
977,fibrosing alveolitis,twosides
1215,hypervitaminosis,twosides
709,Porphyria,twosides
480,intussusception,twosides
1005,amaurosis fugax,twosides
516,leukoplakia of mouth,twosides
946,gestational diabetes,twosides
1203,xanthoma,twosides
1238,Penile pain,twosides
627,optic atrophy,twosides
544,breast inflammation,twosides
1159,xerosis,twosides
712,postmenopausal bleeding,twosides
812,spinal cord injury,twosides
1197,esophageal rupture,twosides
334,food poisoning,twosides
752,rectal prolapse,twosides
378,heat stroke,twosides
443,hypersplenism,twosides
187,conjunctivitis viral,twosides
976,alcohol abuse,twosides
513,multifocal leukoencephalopathy,twosides
982,eustachian tube obstruction,twosides
574,Mumps,twosides
669,Peyronies Disease,twosides
1167,global amnesia,twosides
498,papillary necrosis,twosides
211,dacrocystitis,twosides
1154,encephalitis viral,twosides
1107,avascular necrosis,twosides
549,megacolon,twosides
779,Salivary Gland Calculus,twosides
160,Cholangitis sclerosing,twosides
626,ophthalmoplegia,twosides
380,haemarthrosis,twosides
634,osteochondrosis,twosides
287,epiglottitis,twosides
314,fasciitis,twosides
1012,Breast abscess,twosides
614,Neurosis,twosides
307,foreign body in eye,twosides
590,myoma,twosides
297,Erythema nodosum,twosides
863,tinea pedis,twosides
450,hypertrichosis,twosides
710,tuberculin test positive,twosides
458,hypogonadism,twosides
1074,brachial plexus injury,twosides
1243,hydroureter,twosides
178,Collagen disease,twosides
562,mental retardation,twosides
396,Hepatitis A,twosides
848,testes pain,twosides
781,Salpingitis,twosides
1125,colonic obstruction,twosides
1056,disorders of lipid metabolism,twosides
300,esophageal stenosis,twosides
193,febrile convulsion,twosides
551,melanosis,twosides
1119,regurgitation,twosides
1130,gallbladder cancer,twosides
534,lymphangitis,twosides
1211,parotid gland enlargement,twosides
286,epididymitis,twosides
1313,Morphea,twosides
156,chicken pox,twosides
393,hemothorax,twosides
115,bronchiolitis,twosides
174,coccydynia,twosides
256,dysmenorrhea,twosides
671,periarteritis nodosa,twosides
274,bacterial endocarditis,twosides
1295,Penile swelling,twosides
194,corneal abrasion,twosides
733,Pterygium,twosides
766,pigmentary retinopathy,twosides
714,Post thrombotic syndrome,twosides
617,night blindness,twosides
239,Diphtheria,twosides
1316,glioblastoma multiforme,twosides
276,Endometrial hyperplasia,twosides
522,biliary cirrhosis,twosides
6,premature separation of placenta,twosides
292,episcleritis,twosides
120,Bunion,twosides
77,Astrocytoma,twosides
244,trisomy 21,twosides
1293,sarcoma,twosides
1081,heat rash,twosides
537,lymphocytosis,twosides
754,reflex sympathetic dystrophy,twosides
1298,adrenal carcinoma,twosides
508,Legionella,twosides
743,pyloric stenosis,twosides
306,exophthalmos,twosides
668,pemphigus,twosides
1232,Endometrial cancer,twosides
701,polycystic ovary disease,twosides
1193,Viral Pharyngitis,twosides
1202,Cystitis Interstitial,twosides
879,trichomoniasis,twosides
768,Retroperitoneal fibrosis,twosides
665,Lice Infestation,twosides
94,Bladder Neoplasm,twosides
865,tinea versicolor,twosides
170,cleft palate,twosides
698,viral pneumonia,twosides
460,hypomenorrhea,twosides
703,Polymenorrhea,twosides
75,asthenopia,twosides
1053,lagophthalmos,twosides
721,prolactinoma,twosides
278,Endometritis,twosides
277,endometriosis,twosides
583,myelitis,twosides
726,anal pruritus,twosides
4,abortion missed,twosides
636,osteoma,twosides
1169,peripheral nerve injury,twosides
718,PMs,twosides
290,myoclonic epilepsy,twosides
625,Oligomenorrhea,twosides
504,lactose intolerance,twosides
765,retinitis,twosides
346,giardiasis,twosides
818,ankylosing spondylitis,twosides
755,refraction disorder,twosides
350,angle closure glaucoma,twosides
1306,breast neoplasm,twosides
1063,acute glomerulonephritis,twosides
1055,Viral rash NOS,twosides
1040,gastric stasis,twosides
331,folate deficiency,twosides
481,iridocyclitis,twosides
942,acute febrile neutrophilic dermatosis,twosides
639,osteopetrosis,twosides
1248,thyroid cancer,twosides
1241,chronic active hepatitis,twosides
857,thyroidectomy,twosides
118,bulimia,twosides
64,arteritis,twosides
468,ichthyosis,twosides
438,hypermetropia,twosides
197,Corneal clouding,twosides
203,cryptorchidism,twosides
1087,depigmentation,twosides
928,vulvovaginitis,twosides
631,orchitis,twosides
129,carcinoid tumour,twosides
509,Leriche syndrome,twosides
1299,renal cancer,twosides
624,ocular hypertension,twosides
535,Lymphatic Disorders,twosides
1198,hepatitis C antibody positive,twosides
886,Tympanic membrane disorder,twosides
867,tonsillectomy,twosides
852,Essential Thrombocythemia,twosides
1007,adenoid hypertrophy,twosides
147,cervical polyp,twosides
903,varicocele,twosides
1105,dandruff,twosides
1172,vulval abscess,twosides
265,ectropion,twosides
839,syphilis,twosides
521,alcoholic cirrhosis,twosides
1095,Vaginal prolapse,twosides
89,balanitis,twosides
1067,vaginal dysplasia,twosides
104,bone neoplasm,twosides
989,Bicuspid Aortic Valve,twosides
130,carcinoma,twosides
660,parapsoriasis,twosides
687,pityriasis,twosides
477,Intertrigo,twosides
183,anogenital warts,twosides
453,salivary gland enlargement,twosides
1233,dyslexia,twosides
298,esophageal perforation,twosides
227,dermatophytosis,twosides
691,pneumonectomy,twosides
237,Dermatitis diaper,twosides
428,hypercalcinuria,twosides
1014,thyroid adenoma,twosides
264,eclampsia,twosides
873,toxoplasmosis,twosides
975,exploratory laparotomy,twosides
30,amblyopia,twosides
204,Cryptosporidiosis,twosides
1300,infestation,twosides
1111,hyperamylasaemia,twosides
186,bacterial conjunctivitis,twosides
1153,high risk pregnancy,twosides
515,leukoplakia,twosides
674,constrictive pericarditis,twosides
568,molluscum contagiosum,twosides
1139,cavernous sinus thrombosis,twosides
944,Seasonal Affective Disorder,twosides
1110,brachial neuritis,twosides
206,Cystic Fibrosis,twosides
1301,tinea cruris,twosides
252,dwarfism,twosides
164,chondrodystrophy,twosides
389,hemoglobinuria,twosides
906,vascular headache,twosides
462,hypoparathyroidism,twosides
281,entropion,twosides
877,transurethral resection of the prostate,twosides
318,faecal impaction,twosides
1131,decreased lacrimation,twosides
993,hematospermia,twosides
1059,trifascicular block,twosides
1247,meibomianitis,twosides
934,Pertussis,twosides
635,Osteogenesis Imperfecta,twosides
786,scleritis,twosides
448,renovascular hypertension,twosides
1084,acute intermittent porphyria,twosides
570,oral neoplasm,twosides
353,IgA nephropathy,twosides
338,ephelides,twosides
1065,testicular atrophy,twosides
919,vitamin B deficiency,twosides
417,HIV positive,twosides
927,vulvitis,twosides
545,mast cell disease,twosides
965,pyogenic granuloma,twosides
1261,Haemophilia,twosides
770,rhabdomyosarcoma,twosides
165,choriocarcinoma,twosides
1123,Oily Skin,twosides
272,encopresis,twosides
861,Tinea Capitis,twosides
1276,hypospadias,twosides
1151,eosinophilic pneumonia acute,twosides
474,infertility,twosides
408,genital herpes,twosides
630,orchiectomy,twosides
136,cataplexy,twosides
208,CYSTO,twosides
431,familial hypercholesterolemia,twosides
849,tetanus,twosides
478,parasitic infection intestinal,twosides
167,hemophilia B,twosides
1291,allergic bronchitis,twosides
358,gonorrhea,twosides
593,Myringitis,twosides
644,otosclerosis,twosides
702,erythremia,twosides
915,Masculinization,twosides
1121,penile discharge,twosides
456,hypochondriasis,twosides
1246,renal agenesis,twosides
882,Typhoid,twosides
166,chorioretinitis,twosides
1177,breast malformation,twosides
1085,neurofibromatosis,twosides
776,rickets,twosides
1178,supernumerary nipple,twosides
219,skin abrasion,twosides
1184,cervical stenosis,twosides
896,urogenital abnormalities,twosides
33,traumatic amputation,twosides
794,sexually transmitted diseases,twosides
1157,Herxheimer reaction,twosides
774,Vasomotor Rhinitis,twosides
1057,corneal degeneration,twosides
1004,corticosteroid therapy,twosides
12,Acromegaly,twosides
49,anthrax,twosides
5,septic abortion,twosides
1227,anovulatory,twosides
1064,bladder diverticulum,twosides
778,Rubella,twosides
1200,splinter,twosides
501,hypogonadotropic hypogonadism,twosides
552,chloasma,twosides
303,estrogen replacement,twosides
747,rabies,twosides
