internal_drug_id,source_dataset,source_drug_id,rxcui,mapping_status
DRUG_000310,drugbank,DB00469,37790,HIGH_EXACT
DRUG_000311,drugbank,DB00470,10402,HIGH_EXACT
DRUG_000311,twosides,CID000002978,10402,HIGH_EXACT
DRUG_000312,drugbank,DB00471,88249,HIGH_EXACT
DRUG_000313,drugbank,DB00472,4493,HIGH_EXACT
DRUG_000313,twosides,CID000003386,4493,HIGH_EXACT
DRUG_000314,drugbank,DB00474,6847,HIGH_EXACT
DRUG_000315,drugbank,DB00475,2356,HIGH_EXACT
DRUG_000316,drugbank,DB00476,72625,HIGH_EXACT
DRUG_000316,twosides,CID000060835,72625,HIGH_EXACT
DRUG_000317,drugbank,DB00477,2403,HIGH_EXACT
DRUG_000317,twosides,CID000002726,2403,HIGH_EXACT
DRUG_000318,drugbank,DB00479,641,HIGH_EXACT
DRUG_000318,twosides,CID000002142,641,HIGH_EXACT
DRUG_000319,drugbank,DB00480,342369,HIGH_EXACT
DRUG_000319,twosides,CID000216326,342369,HIGH_EXACT
DRUG_000320,drugbank,DB00481,72143,HIGH_EXACT
DRUG_000320,twosides,CID000005035,72143,HIGH_EXACT
DRUG_000321,drugbank,DB00482,140587,HIGH_EXACT
DRUG_000321,twosides,CID000002662,140587,HIGH_EXACT
DRUG_000322,drugbank,DB00483,4639,HIGH_EXACT
DRUG_000323,drugbank,DB00484,134615,HIGH_EXACT
DRUG_000323,twosides,CID000002435,134615,HIGH_EXACT
DRUG_000324,drugbank,DB00485,3356,HIGH_EXACT
DRUG_000325,drugbank,DB00486,31447,HIGH_EXACT
DRUG_000325,twosides,CID000039860,31447,HIGH_EXACT
DRUG_000326,drugbank,DB00487,7960,HIGH_EXACT
DRUG_000327,drugbank,DB00488,5296,HIGH_EXACT
DRUG_000328,drugbank,DB00489,9947,HIGH_EXACT
DRUG_000328,twosides,CID000005253,9947,HIGH_EXACT
DRUG_000329,drugbank,DB00490,1827,HIGH_EXACT
DRUG_000329,twosides,CID000002477,1827,HIGH_EXACT
DRUG_000330,drugbank,DB00491,30009,HIGH_EXACT
DRUG_000331,drugbank,DB00492,50166,HIGH_EXACT
DRUG_000332,drugbank,DB00493,2186,HIGH_EXACT
DRUG_000333,drugbank,DB00494,60307,HIGH_EXACT
DRUG_000333,twosides,CID004659568,60307,HIGH_EXACT
DRUG_000334,drugbank,DB00495,11413,HIGH_EXACT
DRUG_000334,twosides,CID000005726,11413,HIGH_EXACT
DRUG_000335,drugbank,DB00496,136198,HIGH_EXACT
DRUG_000335,twosides,CID000072054,136198,HIGH_EXACT
DRUG_000336,drugbank,DB00497,7804,HIGH_EXACT
DRUG_000336,twosides,CID000004635,7804,HIGH_EXACT
DRUG_000337,drugbank,DB00498,8130,HIGH_EXACT
DRUG_000338,drugbank,DB00499,4508,HIGH_EXACT
DRUG_000338,twosides,CID000003397,4508,HIGH_EXACT
DRUG_000339,drugbank,DB00500,10636,HIGH_EXACT
DRUG_000340,drugbank,DB00501,2541,HIGH_EXACT
DRUG_000340,twosides,CID000002756,2541,HIGH_EXACT
DRUG_000341,drugbank,DB00502,5093,HIGH_EXACT
DRUG_000341,twosides,CID000003559,5093,HIGH_EXACT
DRUG_000342,drugbank,DB00503,85762,HIGH_EXACT
DRUG_000342,twosides,CID000005076,85762,HIGH_EXACT
DRUG_000343,drugbank,DB00504,6370,HIGH_EXACT
DRUG_000344,drugbank,DB00508,10805,HIGH_EXACT
DRUG_000345,drugbank,DB00511,132871,HIGH_EXACT
DRUG_000346,drugbank,DB00512,11124,HIGH_EXACT
DRUG_000346,twosides,CID000005651,11124,HIGH_EXACT
DRUG_000347,drugbank,DB00513,99,HIGH_EXACT
DRUG_000347,twosides,CID000000564,99,HIGH_EXACT
DRUG_000348,drugbank,DB00514,236146,HIGH_EXACT
DRUG_000348,twosides,CID000003008,,UNRESOLVED
DRUG_000349,drugbank,DB00515,2555,HIGH_EXACT
DRUG_000350,drugbank,DB00517,17945,HIGH_EXACT
DRUG_000351,drugbank,DB00518,430,HIGH_EXACT
DRUG_000352,drugbank,DB00519,38454,HIGH_EXACT
DRUG_000352,twosides,CID000005525,38454,HIGH_EXACT
DRUG_000353,drugbank,DB00520,140108,HIGH_EXACT
DRUG_000354,drugbank,DB00521,2116,HIGH_EXACT
DRUG_000355,drugbank,DB00523,81864,HIGH_EXACT
DRUG_000356,drugbank,DB00755,10753,HIGH_EXACT
DRUG_000357,drugbank,DB00982,6064,HIGH_EXACT
DRUG_000358,twosides,CID000005538,,UNRESOLVED
DRUG_000359,drugbank,DB00524,6916,HIGH_EXACT
DRUG_000359,twosides,CID000004170,6916,HIGH_EXACT
DRUG_000360,drugbank,DB00525,10637,HIGH_EXACT
DRUG_000361,drugbank,DB00526,32592,HIGH_EXACT
DRUG_000362,drugbank,DB00527,3339,HIGH_EXACT
DRUG_000363,drugbank,DB00528,135056,HIGH_EXACT
DRUG_000364,drugbank,DB00529,33562,HIGH_EXACT
DRUG_000365,drugbank,DB00530,337525,HIGH_EXACT
DRUG_000365,twosides,CID000176870,337525,HIGH_EXACT
DRUG_000366,drugbank,DB00531,1545988,HIGH_EXACT
DRUG_000366,twosides,CID000002907,3002,HIGH_EXACT
DRUG_000367,drugbank,DB00535,25037,HIGH_EXACT
DRUG_000367,twosides,CID006398970,25037,HIGH_EXACT
DRUG_000368,drugbank,DB00537,2551,HIGH_EXACT
DRUG_000368,twosides,CID000002764,2551,HIGH_EXACT
DRUG_000369,drugbank,DB00539,38409,HIGH_EXACT
DRUG_000370,drugbank,DB00540,7531,HIGH_EXACT
DRUG_000370,twosides,CID000004543,7531,HIGH_EXACT
DRUG_000371,drugbank,DB00541,11202,HIGH_EXACT
DRUG_000371,twosides,CID000005978,11202,HIGH_EXACT
DRUG_000372,drugbank,DB00542,18867,HIGH_EXACT
DRUG_000372,twosides,CID000002311,18867,HIGH_EXACT
DRUG_000373,drugbank,DB00543,722,HIGH_EXACT
DRUG_000373,twosides,CID000002170,722,HIGH_EXACT
DRUG_000374,drugbank,DB00544,4492,HIGH_EXACT
DRUG_000374,twosides,CID000003385,4492,HIGH_EXACT
DRUG_000375,drugbank,DB00545,9000,HIGH_EXACT
DRUG_000375,twosides,CID000004991,9000,HIGH_EXACT
DRUG_000376,drugbank,DB00546,,UNRESOLVED
DRUG_000377,drugbank,DB00547,3255,HIGH_EXACT
DRUG_000378,drugbank,DB00548,18602,HIGH_EXACT
DRUG_000378,twosides,CID000002266,18602,HIGH_EXACT
DRUG_000379,drugbank,DB00549,114970,HIGH_EXACT
DRUG_000379,twosides,CID000005717,114970,HIGH_EXACT
DRUG_000380,drugbank,DB00550,8794,HIGH_EXACT
DRUG_000380,twosides,CID000657298,8794,HIGH_EXACT
DRUG_000381,drugbank,DB00551,16728,HIGH_EXACT
DRUG_000382,drugbank,DB00552,8011,HIGH_EXACT
DRUG_000383,drugbank,DB00553,6854,HIGH_EXACT
DRUG_000384,drugbank,DB00554,68115,HIGH_EXACT
DRUG_000385,drugbank,DB00555,28439,HIGH_EXACT
DRUG_000385,twosides,CID000003878,28439,HIGH_EXACT
DRUG_000386,drugbank,DB00556,283753,HIGH_EXACT
DRUG_000387,drugbank,DB00557,5553,HIGH_EXACT
DRUG_000387,twosides,CID000003658,5553,HIGH_EXACT
DRUG_000388,drugbank,DB00559,1468845,HIGH_EXACT
DRUG_000388,twosides,CID000104865,75207,HIGH_EXACT
DRUG_000389,drugbank,DB00560,384455,HIGH_EXACT
DRUG_000390,drugbank,DB00561,3637,HIGH_EXACT
DRUG_000391,drugbank,DB00562,19008,HIGH_EXACT
DRUG_000392,drugbank,DB00563,6851,HIGH_EXACT
DRUG_000392,twosides,CID000004112,6851,HIGH_EXACT
DRUG_000393,drugbank,DB00564,2002,HIGH_EXACT
DRUG_000393,twosides,CID000002554,2002,HIGH_EXACT
DRUG_000394,drugbank,DB00565,319864,HIGH_EXACT
DRUG_000395,drugbank,DB00567,1299782,HIGH_EXACT
DRUG_000395,twosides,CID000002666,,UNRESOLVED
DRUG_000396,drugbank,DB00568,2549,HIGH_EXACT
DRUG_000397,drugbank,DB00569,321208,HIGH_EXACT
DRUG_000397,twosides,CID000163742,321208,HIGH_EXACT
DRUG_000398,drugbank,DB00570,11198,HIGH_EXACT
DRUG_000398,twosides,CID000013342,11198,HIGH_EXACT
DRUG_000399,drugbank,DB00571,8787,HIGH_EXACT
DRUG_000399,twosides,CID000004946,8787,HIGH_EXACT
DRUG_000400,drugbank,DB00573,4331,HIGH_EXACT
DRUG_000401,drugbank,DB00575,2599,HIGH_EXACT
DRUG_000401,twosides,CID000002803,2599,HIGH_EXACT
DRUG_000402,drugbank,DB00576,10179,HIGH_EXACT
DRUG_000403,drugbank,DB00577,73645,HIGH_EXACT
DRUG_000403,twosides,CID000005647,73645,HIGH_EXACT
DRUG_000404,drugbank,DB00578,2015,HIGH_EXACT
DRUG_000405,drugbank,DB00581,6218,HIGH_EXACT
DRUG_000406,drugbank,DB00582,121243,HIGH_EXACT
DRUG_000406,twosides,CID000071616,121243,HIGH_EXACT
DRUG_000407,drugbank,DB00583,42955,HIGH_EXACT
DRUG_000408,drugbank,DB00584,3827,HIGH_EXACT
DRUG_000408,twosides,CID000003222,3827,HIGH_EXACT
DRUG_000409,drugbank,DB00585,42319,HIGH_EXACT
DRUG_000409,twosides,CID000004513,42319,HIGH_EXACT
DRUG_000410,drugbank,DB00586,3355,HIGH_EXACT
DRUG_000411,drugbank,DB00588,50121,HIGH_EXACT
DRUG_000412,drugbank,DB00589,6446,HIGH_EXACT
DRUG_000413,drugbank,DB00590,49276,HIGH_EXACT
DRUG_000413,twosides,CID000003157,49276,HIGH_EXACT
DRUG_000414,drugbank,DB00591,4461,HIGH_EXACT
DRUG_000414,twosides,CID000003381,4461,HIGH_EXACT
DRUG_000415,drugbank,DB00592,8340,HIGH_EXACT
DRUG_000416,drugbank,DB00593,4135,HIGH_EXACT
DRUG_000416,twosides,CID000003291,4135,HIGH_EXACT
DRUG_000417,drugbank,DB00594,644,HIGH_EXACT
DRUG_000417,twosides,CID000016231,644,HIGH_EXACT
DRUG_000418,drugbank,DB00595,1545999,HIGH_EXACT
DRUG_000419,drugbank,DB00596,41208,HIGH_EXACT
DRUG_000420,drugbank,DB00598,6185,HIGH_EXACT
DRUG_000420,twosides,CID000003869,6185,HIGH_EXACT
DRUG_000421,drugbank,DB00599,10493,HIGH_EXACT
DRUG_000422,drugbank,DB00601,190376,HIGH_EXACT
DRUG_000422,twosides,CID000003929,190376,HIGH_EXACT
DRUG_000423,drugbank,DB00602,6069,HIGH_EXACT
DRUG_000423,twosides,CID006435110,6069,HIGH_EXACT
DRUG_000424,drugbank,DB00603,1000112,HIGH_EXACT
DRUG_000425,drugbank,DB00604,35255,HIGH_EXACT
DRUG_000426,drugbank,DB00605,10237,HIGH_EXACT
DRUG_000426,twosides,CID000005352,10237,HIGH_EXACT
DRUG_000427,drugbank,DB00606,22033,HIGH_EXACT
DRUG_000428,drugbank,DB00607,7233,HIGH_EXACT
DRUG_000429,drugbank,DB00608,2393,HIGH_EXACT
DRUG_000429,twosides,CID000002719,2393,HIGH_EXACT
DRUG_000430,drugbank,DB00609,4127,HIGH_EXACT
DRUG_000431,drugbank,DB00610,6805,HIGH_EXACT
DRUG_000432,drugbank,DB00611,1841,HIGH_EXACT
DRUG_000432,twosides,CID000002487,1841,HIGH_EXACT
DRUG_000433,drugbank,DB00612,19484,HIGH_EXACT
DRUG_000433,twosides,CID000002405,19484,HIGH_EXACT
DRUG_000434,drugbank,DB00613,720,HIGH_EXACT
DRUG_000435,drugbank,DB00614,4601,HIGH_EXACT
DRUG_000436,drugbank,DB00615,55672,HIGH_EXACT
DRUG_000437,drugbank,DB00617,32894,HIGH_EXACT
DRUG_000438,drugbank,DB00618,3154,HIGH_EXACT
DRUG_000439,drugbank,DB00619,282388,HIGH_EXACT
DRUG_000439,twosides,CID000005291,282388,HIGH_EXACT
DRUG_000440,drugbank,DB00620,10759,HIGH_EXACT
DRUG_000440,twosides,CID000005544,10759,HIGH_EXACT
DRUG_000441,drugbank,DB00621,7779,HIGH_EXACT
DRUG_000441,twosides,CID000005878,7779,HIGH_EXACT
DRUG_000442,drugbank,DB00622,7396,HIGH_EXACT
DRUG_000443,drugbank,DB00623,4496,HIGH_EXACT
DRUG_000443,twosides,CID000003372,4496,HIGH_EXACT
DRUG_000444,drugbank,DB00624,10379,HIGH_EXACT
DRUG_000444,twosides,CID000005408,10379,HIGH_EXACT
DRUG_000445,drugbank,DB00625,195085,HIGH_EXACT
DRUG_000445,twosides,CID000003203,195085,HIGH_EXACT
DRUG_000446,drugbank,DB00626,1291,HIGH_EXACT
DRUG_000447,drugbank,DB00627,7393,HIGH_EXACT
DRUG_000448,drugbank,DB00628,2353,HIGH_EXACT
DRUG_000449,drugbank,DB00629,5033,HIGH_EXACT
DRUG_000450,drugbank,DB00630,236083,HIGH_EXACT
DRUG_000450,twosides,CID000002088,236083,HIGH_EXACT
DRUG_000451,drugbank,DB00631,44151,HIGH_EXACT
DRUG_000451,twosides,CID000119182,44151,HIGH_EXACT
DRUG_000452,drugbank,DB00633,48937,HIGH_EXACT
DRUG_000453,drugbank,DB00634,10169,HIGH_EXACT
DRUG_000454,drugbank,DB00635,8640,HIGH_EXACT
DRUG_000454,twosides,CID000004900,8640,HIGH_EXACT
DRUG_000455,drugbank,DB00636,2594,HIGH_EXACT
DRUG_000456,drugbank,DB00637,42328,HIGH_EXACT
DRUG_000457,drugbank,DB00639,19884,HIGH_EXACT
DRUG_000458,drugbank,DB00640,296,HIGH_EXACT
DRUG_000458,twosides,CID000000191,296,HIGH_EXACT
DRUG_000459,drugbank,DB00641,36567,HIGH_EXACT
DRUG_000459,twosides,CID000054454,36567,HIGH_EXACT
DRUG_000460,drugbank,DB00642,68446,HIGH_EXACT
DRUG_000460,twosides,CID000060843,68446,HIGH_EXACT
DRUG_000461,drugbank,DB00643,6672,HIGH_EXACT
DRUG_000462,drugbank,DB00645,23744,HIGH_EXACT
DRUG_000463,drugbank,DB00646,7597,HIGH_EXACT
DRUG_000464,drugbank,DB00647,8785,HIGH_EXACT
DRUG_000465,drugbank,DB00648,7004,HIGH_EXACT
DRUG_000465,twosides,CID000004211,7004,HIGH_EXACT
DRUG_000466,drugbank,DB00649,59763,HIGH_EXACT
DRUG_000466,twosides,CID000005155,59763,HIGH_EXACT
DRUG_000467,drugbank,DB00650,6313,HIGH_EXACT
DRUG_000468,drugbank,DB00651,3714,HIGH_EXACT
DRUG_000469,drugbank,DB00652,8001,HIGH_EXACT
DRUG_000469,twosides,CID000004736,8001,HIGH_EXACT
DRUG_000470,drugbank,DB00653,1311625,HIGH_EXACT
DRUG_000471,drugbank,DB00654,43611,HIGH_EXACT
DRUG_000471,twosides,CID000003890,43611,HIGH_EXACT
DRUG_000472,drugbank,DB00655,4103,HIGH_EXACT
DRUG_000473,drugbank,DB00656,10737,HIGH_EXACT
DRUG_000473,twosides,CID000005533,10737,HIGH_EXACT
DRUG_000474,drugbank,DB00657,6673,HIGH_EXACT
DRUG_000475,drugbank,DB00658,214824,HIGH_EXACT
DRUG_000475,twosides,CID003085017,214824,HIGH_EXACT
DRUG_000476,drugbank,DB00660,59078,HIGH_EXACT
DRUG_000477,drugbank,DB00661,11170,HIGH_EXACT
DRUG_000477,twosides,CID000002520,11170,HIGH_EXACT
DRUG_000478,drugbank,DB00662,38685,HIGH_EXACT
DRUG_000479,drugbank,DB00663,4458,HIGH_EXACT
DRUG_000480,drugbank,DB00664,10175,HIGH_EXACT
DRUG_000481,drugbank,DB00665,31805,HIGH_EXACT
DRUG_000482,drugbank,DB00666,28656,HIGH_EXACT
DRUG_000483,drugbank,DB00668,3992,HIGH_EXACT
DRUG_000483,twosides,CID000000838,3992,HIGH_EXACT
DRUG_000484,drugbank,DB00669,37418,HIGH_EXACT
DRUG_000484,twosides,CID000005358,37418,HIGH_EXACT
DRUG_000485,drugbank,DB00670,8352,HIGH_EXACT
DRUG_000486,drugbank,DB00671,1546021,HIGH_EXACT
DRUG_000486,twosides,CID000002675,,UNRESOLVED
DRUG_000487,drugbank,DB00672,2404,HIGH_EXACT
DRUG_000487,twosides,CID000002727,2404,HIGH_EXACT
DRUG_000488,drugbank,DB00673,358255,HIGH_EXACT
DRUG_000489,drugbank,DB00674,4637,HIGH_EXACT
DRUG_000489,twosides,CID000003449,4637,HIGH_EXACT
DRUG_000490,drugbank,DB00675,10324,HIGH_EXACT
DRUG_000490,twosides,CID000005376,10324,HIGH_EXACT
DRUG_000491,drugbank,DB00677,6027,HIGH_EXACT
DRUG_000492,drugbank,DB00678,52175,HIGH_EXACT
DRUG_000492,twosides,CID000003961,52175,HIGH_EXACT
DRUG_000493,drugbank,DB00679,10502,HIGH_EXACT
DRUG_000494,drugbank,DB00680,40169,HIGH_EXACT
DRUG_000495,drugbank,DB00681,236594,HIGH_EXACT
DRUG_000495,twosides,CID000001972,,UNRESOLVED
DRUG_000496,drugbank,DB00682,11289,HIGH_EXACT
DRUG_000497,drugbank,DB00683,6960,HIGH_EXACT
DRUG_000497,twosides,CID000004192,6960,HIGH_EXACT
DRUG_000498,drugbank,DB00684,10627,HIGH_EXACT
DRUG_000498,twosides,CID000005496,10627,HIGH_EXACT
DRUG_000499,drugbank,DB00685,115552,HIGH_EXACT
DRUG_000500,drugbank,DB00686,155046,HIGH_EXACT
DRUG_000501,drugbank,DB00687,4452,HIGH_EXACT
DRUG_000502,drugbank,DB00688,68149,HIGH_EXACT
DRUG_000503,drugbank,DB00689,,UNRESOLVED
DRUG_000504,drugbank,DB00690,4501,HIGH_EXACT
DRUG_000504,twosides,CID000003393,4501,HIGH_EXACT
DRUG_000505,drugbank,DB00691,30131,HIGH_EXACT
DRUG_000505,twosides,CID000091270,30131,HIGH_EXACT
DRUG_000506,drugbank,DB00692,8153,HIGH_EXACT
DRUG_000507,drugbank,DB00694,214468,HIGH_EXACT
DRUG_000508,drugbank,DB00695,4603,HIGH_EXACT
DRUG_000508,twosides,CID000003440,4603,HIGH_EXACT
DRUG_000509,drugbank,DB00696,4025,HIGH_EXACT
DRUG_000510,drugbank,DB00697,57258,HIGH_EXACT
DRUG_000510,twosides,CID000005487,57258,HIGH_EXACT
DRUG_000511,drugbank,DB00698,235559,HIGH_EXACT
DRUG_000511,twosides,CID000004509,,UNRESOLVED
DRUG_000512,drugbank,DB00699,7398,HIGH_EXACT
DRUG_000513,drugbank,DB00700,298869,HIGH_EXACT
DRUG_000513,twosides,CID000150310,298869,HIGH_EXACT
DRUG_000514,drugbank,DB00701,228656,HIGH_EXACT
DRUG_000514,twosides,CID000002177,228656,HIGH_EXACT
DRUG_000515,drugbank,DB00703,6826,HIGH_EXACT
DRUG_000516,drugbank,DB00704,7243,HIGH_EXACT
DRUG_000516,twosides,CID000004428,7243,HIGH_EXACT
DRUG_000517,drugbank,DB00705,83816,HIGH_EXACT
DRUG_000518,drugbank,DB00706,77492,HIGH_EXACT
DRUG_000518,twosides,CID000060147,77492,HIGH_EXACT
DRUG_000519,drugbank,DB00708,56795,HIGH_EXACT
DRUG_000519,twosides,CID000041693,56795,HIGH_EXACT
DRUG_000520,drugbank,DB00709,68244,HIGH_EXACT
DRUG_000520,twosides,CID000003877,68244,HIGH_EXACT
DRUG_000521,drugbank,DB00710,115264,HIGH_EXACT
DRUG_000521,twosides,CID000060852,115264,HIGH_EXACT
DRUG_000522,drugbank,DB00711,3384,HIGH_EXACT
DRUG_000523,drugbank,DB00712,4502,HIGH_EXACT
DRUG_000523,twosides,CID000003394,4502,HIGH_EXACT
DRUG_000524,drugbank,DB00713,7773,HIGH_EXACT
DRUG_000525,drugbank,DB00714,1043,HIGH_EXACT
DRUG_000525,twosides,CID000002215,1043,HIGH_EXACT
DRUG_000526,drugbank,DB00715,32937,HIGH_EXACT
DRUG_000526,twosides,CID000004691,32937,HIGH_EXACT
DRUG_000527,drugbank,DB00717,7514,HIGH_EXACT
DRUG_000527,twosides,CID000004536,7514,HIGH_EXACT
DRUG_000528,drugbank,DB00718,141400,HIGH_EXACT
DRUG_000528,twosides,CID000060871,141400,HIGH_EXACT
DRUG_000529,drugbank,DB00719,18600,HIGH_EXACT
DRUG_000530,drugbank,DB00720,3350,HIGH_EXACT
DRUG_000531,drugbank,DB00721,8701,HIGH_EXACT
DRUG_000532,drugbank,DB00722,1546022,HIGH_EXACT
DRUG_000532,twosides,CID000003937,,UNRESOLVED
DRUG_000533,drugbank,DB00723,6853,HIGH_EXACT
DRUG_000534,drugbank,DB00724,59943,HIGH_EXACT
DRUG_000534,twosides,CID000057469,59943,HIGH_EXACT
DRUG_000535,drugbank,DB00726,10834,HIGH_EXACT
DRUG_000535,twosides,CID000005584,10834,HIGH_EXACT
DRUG_000536,drugbank,DB00727,4917,HIGH_EXACT
DRUG_000536,twosides,CID000004510,4917,HIGH_EXACT
DRUG_000537,drugbank,DB00728,68139,HIGH_EXACT
DRUG_000537,twosides,CID000060696,68139,HIGH_EXACT
DRUG_000538,drugbank,DB00730,10450,HIGH_EXACT
DRUG_000539,drugbank,DB00731,274332,HIGH_EXACT
DRUG_000540,drugbank,DB00732,1219,HIGH_EXACT
DRUG_000541,drugbank,DB13450,,UNRESOLVED
DRUG_000542,twosides,CID000047320,1219,HIGH_EXACT
DRUG_000543,drugbank,DB00734,35636,HIGH_EXACT
DRUG_000543,twosides,CID000005073,35636,HIGH_EXACT
DRUG_000544,drugbank,DB00735,31476,HIGH_EXACT
DRUG_000545,drugbank,DB00736,283742,HIGH_EXACT
DRUG_000546,drugbank,DB00737,6676,HIGH_EXACT
DRUG_000546,twosides,CID000004034,6676,HIGH_EXACT
DRUG_000547,drugbank,DB00738,7994,HIGH_EXACT
DRUG_000548,drugbank,DB00740,35623,HIGH_EXACT
DRUG_000548,twosides,CID000005070,35623,HIGH_EXACT
DRUG_000549,drugbank,DB00741,5492,HIGH_EXACT
DRUG_000549,twosides,CID000003640,5492,HIGH_EXACT
DRUG_000550,drugbank,DB00742,6628,HIGH_EXACT
DRUG_000550,twosides,CID000000453,6628,HIGH_EXACT
DRUG_000551,drugbank,DB00743,692620,HIGH_EXACT
DRUG_000552,drugbank,DB00744,40575,HIGH_EXACT
DRUG_000553,drugbank,DB00745,30125,HIGH_EXACT
DRUG_000554,drugbank,DB06413,30125,HIGH_EXACT
DRUG_000555,twosides,CID000004236,30125,HIGH_EXACT
DRUG_000556,drugbank,DB00746,3131,HIGH_EXACT
DRUG_000556,twosides,CID000002973,3131,HIGH_EXACT
DRUG_000557,drugbank,DB00747,9601,HIGH_EXACT
DRUG_000557,twosides,CID000005184,,UNRESOLVED
DRUG_000558,drugbank,DB00748,20220,HIGH_EXACT
DRUG_000559,drugbank,DB00749,24605,HIGH_EXACT
DRUG_000559,twosides,CID000003308,24605,HIGH_EXACT
DRUG_000560,drugbank,DB00750,8686,HIGH_EXACT
DRUG_000561,drugbank,DB00751,39684,HIGH_EXACT
DRUG_000562,drugbank,DB00752,10734,HIGH_EXACT
DRUG_000562,twosides,CID000005530,10734,HIGH_EXACT
DRUG_000563,drugbank,DB00753,6026,HIGH_EXACT
DRUG_000563,twosides,CID000003763,6026,HIGH_EXACT
DRUG_000564,drugbank,DB00754,4136,HIGH_EXACT
DRUG_000565,drugbank,DB00757,68091,HIGH_EXACT
DRUG_000565,twosides,CID000003148,68091,HIGH_EXACT
DRUG_000566,drugbank,DB00758,32968,HIGH_EXACT
DRUG_000566,twosides,CID000002806,32968,HIGH_EXACT
DRUG_000567,drugbank,DB00759,10395,HIGH_EXACT
DRUG_000568,drugbank,DB00760,1546029,HIGH_EXACT
DRUG_000569,drugbank,DB00761,8591,HIGH_EXACT
DRUG_000569,twosides,CID000004873,8591,HIGH_EXACT
DRUG_000570,drugbank,DB00762,51499,HIGH_EXACT
DRUG_000570,twosides,CID000003750,51499,HIGH_EXACT
DRUG_000571,drugbank,DB00763,6835,HIGH_EXACT
DRUG_000571,twosides,CID001349907,6835,HIGH_EXACT
DRUG_000572,drugbank,DB00764,108118,HIGH_EXACT
DRUG_000572,twosides,CID000123620,108118,HIGH_EXACT
DRUG_000573,drugbank,DB00765,266604,HIGH_EXACT
DRUG_000574,drugbank,DB00766,21216,HIGH_EXACT
DRUG_000575,drugbank,DB00768,135391,HIGH_EXACT
DRUG_000575,twosides,CID000060865,135391,HIGH_EXACT
DRUG_000576,drugbank,DB00769,,UNRESOLVED
DRUG_000577,drugbank,DB00770,598,HIGH_EXACT
DRUG_000577,twosides,CID000000214,598,HIGH_EXACT
DRUG_000578,drugbank,DB00771,21232,HIGH_EXACT
DRUG_000579,drugbank,DB00772,6606,HIGH_EXACT
DRUG_000580,drugbank,DB00773,4179,HIGH_EXACT
DRUG_000580,twosides,CID000003310,4179,HIGH_EXACT
DRUG_000581,drugbank,DB00774,5495,HIGH_EXACT
DRUG_000582,drugbank,DB00775,73137,HIGH_EXACT
DRUG_000582,twosides,CID000005486,73137,HIGH_EXACT
DRUG_000583,drugbank,DB00776,32624,HIGH_EXACT
DRUG_000583,twosides,CID000034312,32624,HIGH_EXACT
DRUG_000584,drugbank,DB00778,9478,HIGH_EXACT
DRUG_000585,drugbank,DB00779,7240,HIGH_EXACT
DRUG_000586,drugbank,DB00780,8123,HIGH_EXACT
DRUG_000586,twosides,CID000003675,8123,HIGH_EXACT
DRUG_000587,drugbank,DB00781,8536,HIGH_EXACT
DRUG_000588,drugbank,DB00782,8761,HIGH_EXACT
DRUG_000589,drugbank,DB00783,4083,HIGH_EXACT
DRUG_000589,twosides,CID000000450,4083,HIGH_EXACT
DRUG_000590,drugbank,DB00784,6693,HIGH_EXACT
DRUG_000590,twosides,CID000004044,6693,HIGH_EXACT
DRUG_000591,drugbank,DB00787,281,HIGH_EXACT
DRUG_000591,twosides,CID000002022,281,HIGH_EXACT
DRUG_000592,drugbank,DB00788,7258,HIGH_EXACT
DRUG_000592,twosides,CID000001302,7258,HIGH_EXACT
DRUG_000593,drugbank,DB00790,54552,HIGH_EXACT
DRUG_000593,twosides,CID000060184,54552,HIGH_EXACT
DRUG_000594,drugbank,DB00791,10996,HIGH_EXACT
DRUG_000595,drugbank,DB00792,10847,HIGH_EXACT
DRUG_000596,drugbank,DB00793,26422,HIGH_EXACT
DRUG_000597,drugbank,DB00794,8691,HIGH_EXACT
DRUG_000597,twosides,CID000004909,8691,HIGH_EXACT
DRUG_000598,drugbank,DB00795,9524,HIGH_EXACT
DRUG_000599,drugbank,DB00796,135481,HIGH_EXACT
DRUG_000600,drugbank,DB00797,10634,HIGH_EXACT
DRUG_000601,drugbank,DB00798,1596450,HIGH_EXACT
DRUG_000601,twosides,CID000003467,1596450,HIGH_EXACT
DRUG_000602,drugbank,DB00799,83947,HIGH_EXACT
DRUG_000602,twosides,CID000005381,83947,HIGH_EXACT
DRUG_000603,drugbank,DB00800,24853,HIGH_EXACT
DRUG_000604,drugbank,DB00801,26412,HIGH_EXACT
DRUG_000605,drugbank,DB00802,480,HIGH_EXACT
DRUG_000605,twosides,CID000051263,480,HIGH_EXACT
DRUG_000606,drugbank,DB00803,2709,HIGH_EXACT
DRUG_000607,drugbank,DB00804,3361,HIGH_EXACT
DRUG_000607,twosides,CID000003042,3361,HIGH_EXACT
DRUG_000608,drugbank,DB00805,30031,HIGH_EXACT
DRUG_000609,drugbank,DB00806,8013,HIGH_EXACT
DRUG_000609,twosides,CID000004740,8013,HIGH_EXACT
DRUG_000610,drugbank,DB00807,34905,HIGH_EXACT
DRUG_000611,drugbank,DB00808,5764,HIGH_EXACT
DRUG_000611,twosides,CID000003702,5764,HIGH_EXACT
DRUG_000612,drugbank,DB00809,10869,HIGH_EXACT
